host_id,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability
11442066,52.37165,4.896,125,1,71,6.32,2,233
37014760,52.39075,4.89169,125,2,292,6.31,1,127
116527607,52.36869,4.88112,149,2,17,6.3,1,211
7176784,52.37811,4.89246,139,1,257,6.3,2,79
336950,52.36887,4.89523,109,1,624,6.29,4,130
273329,52.36215,4.9369,101,2,46,6.27,2,88
47525882,52.38013,4.85954,80,2,56,6.27,2,48
79646801,52.34877,4.80603,64,1,60,6.27,2,124
4674102,52.3752,4.89364,125,1,87,6.27,2,135
102064815,52.35964,4.87073,120,3,179,6.27,2,170
11098265,52.35281,4.85476,95,2,216,6.26,1,49
23799357,52.35744,4.90321,130,3,339,6.26,1,116
16798348,52.36458,4.85512,76,2,134,6.25,2,26
54233656,52.35397,4.84734,94,1,158,6.25,1,182
228056341,52.37135,4.91113,100,2,31,6.24,2,3
176320082,52.3648,4.88485,125,1,82,6.23,2,176
159846137,52.37632,4.87962,100,1,108,6.23,1,222
7570689,52.36468,4.92418,78,2,436,6.23,1,204
3015785,52.38315,4.88732,80,2,509,6.22,2,32
29514830,52.36318,4.92463,85,1,35,6.21,1,8
47076311,52.32004,4.94319,37,2,90,6.21,1,17
99852324,52.39014,4.88723,117,2,192,6.21,1,247
6797351,52.35734,4.9038,75,1,57,6.2,2,64
20253982,52.37492,4.88069,80,1,350,6.17,2,207
197060667,52.36273,4.88738,120,2,62,6.16,5,152
197286521,52.37328,4.84902,85,1,63,6.16,6,226
163712442,52.34847,5.00802,85,2,101,6.16,1,69
20253982,52.37492,4.88067,80,1,308,6.16,2,216
732783,52.37961,4.85443,89,1,588,6.16,1,4
10528744,52.35324,4.89819,75,1,32,6.15,1,3
14745730,52.3669,4.87015,55,1,167,6.15,1,258
17401298,52.36657,4.85048,80,3,281,6.15,1,114
9275484,52.36692,4.90964,73,2,382,6.15,1,36
28289832,52.36312,4.87721,232,2,140,6.14,1,100
1979865,52.37914,4.88493,70,3,526,6.14,1,5
16947067,52.33351,4.90068,95,2,106,6.12,1,222
22000171,52.38234,4.855,70,2,179,6.12,2,12
38560640,52.35645,4.99679,65,2,240,6.12,2,20
19029497,52.36741,4.91106,175,2,300,6.12,1,249
14626041,52.36422,4.90768,110,2,367,6.12,1,205
52540725,52.35001,4.8506,45,2,66,6.11,3,18
6870134,52.35533,4.8986,115,3,90,6.11,2,50
226622106,52.37117,4.90926,193,1,24,6.1,8,357
71530716,52.37895,4.89491,112,1,174,6.09,1,19
6331314,52.3719,4.90437,158,3,376,6.09,1,6
191550152,52.35676,4.89549,200,1,58,6.08,1,40
180288270,52.35332,4.88539,120,2,80,6.08,2,241
15996910,52.37333,4.89708,71,1,140,6.08,4,6
43090617,52.38762,4.94894,50,1,262,6.08,1,202
186231304,52.38713,4.91586,120,1,17,6.07,1,0
45576854,52.40222,4.91046,99,2,113,6.06,1,56
228056341,52.37143,4.91047,120,2,26,6.05,2,9
45507360,52.35509,4.89878,95,3,263,6.05,1,18
88479375,52.36439,4.91625,100,4,194,6.04,1,232
